feature,mean_abs_standardized_coefficient,coefficient_sign_consistency
nucleus_eccentricity_median,0.42414603729250233,0.5
nucleus_eccentricity_mean,0.40219094024714974,0.5
marker_to_cytoplasm_ratio_mean,0.3797930228589075,0.0
nucleus_eccentricity_std,0.36039903205110235,0.0
marker_to_cytoplasm_ratio_median,0.35620173512659686,0.5
marker_mean_intensity_median,0.3466655235205982,0.0
nucleus_solidity_iqr,0.32379986482082584,0.0
marker_mean_intensity_iqr,0.32375342202540414,0.0
marker_mean_intensity_mean,0.29552106128842415,0.0
nucleus_perimeter_median,0.2854419820817112,0.0
nucleus_area_median,0.2830165777853306,0.0
cell_count,0.2729750484677573,0.0
cytoplasm_mean_intensity_median,0.26747188242710007,0.0
cell_area_std,0.26308179173842133,0.0
cell_area_median,0.24280911353636603,0.0
marker_to_cytoplasm_ratio_std,0.2369910251031477,0.5
cell_area_mean,0.21260773512290607,0.0
marker_mean_intensity_std,0.212127256497708,0.5
nucleus_area_mean,0.20227116770852877,0.0
nucleus_area_iqr,0.20016342809872834,0.5
nucleus_mean_intensity_median,0.19847055092320404,0.0
nucleus_area_std,0.19166736471205476,0.0
nucleus_to_cell_area_ratio_std,0.1878835165073271,0.0
cytoplasm_mean_intensity_mean,0.18439025507236304,0.0
nucleus_mean_intensity_iqr,0.1814644923521032,0.0
nucleus_eccentricity_iqr,0.1702492023475426,0.0
nucleus_perimeter_mean,0.16991973839506574,0.5
nucleus_solidity_median,0.16749675417182983,0.0
nn_distance_mean,0.15910829496345785,0.5
nucleus_to_cell_area_ratio_iqr,0.15759933486796074,0.5
nucleus_to_cell_area_ratio_median,0.14953138659567075,0.5
nucleus_mean_intensity_mean,0.1487391676550892,0.5
nucleus_to_cell_area_ratio_mean,0.1320632877029019,0.0
nucleus_mean_intensity_std,0.12280519167948856,0.5
nucleus_perimeter_iqr,0.12115698860750791,0.5
nucleus_solidity_std,0.11816068260673414,0.0
cytoplasm_mean_intensity_iqr,0.10404543302128441,0.0
nn_distance_cv,0.08577731486314141,0.0
cell_area_iqr,0.08216990641347507,0.0
cytoplasm_mean_intensity_std,0.08190239035512954,0.0
nucleus_perimeter_std,0.07304777222537276,0.0
nucleus_solidity_mean,0.06899346260595797,0.0
marker_to_cytoplasm_ratio_iqr,0.06778649504461155,0.5
